Section	Verses	Exact	Jaccard	Len	Title	Official	Slug	Notes
1	1–7	True	1	46	La voz de amonestación se dirige a todo pueblo	La voz de amonestación se dirige a todo pueblo	 `dyc-1-voz-amonestacion` 	
1	24–33	False	0.625	47	Sale a luz el Libro de Mormón y nace la Iglesia	Sale a luz el Libro de Mormón y se establece la Iglesia verdadera	 `dyc-1-libro-mormon-iglesia-verdadera` 	
1	34–36	True	1	32	La paz será quitada de la tierra	La paz será quitada de la tierra	 `dyc-1-paz-quitada` 	
1	37–39	True	1	29	Escudriñad estos mandamientos	Escudriñad estos mandamientos	 `dyc-1-escudrinad-mandamientos` 	
1	8–16	False	1	47	Apostasía y maldad preceden a la Segunda Venida	La apostasía y la maldad preceden a la Segunda Venida	 `dyc-1-apostasia-maldad-segunda-venida` 	
2	2–3	False	0.556	61	Promesas a los padres echarán raíz en el corazón de los hijos	En el corazón de los hijos se plantan las promesas hechas a los padres	 `dyc-2-promesas-padres-corazon-hijos` 	
3	1–4	True	1	34	La vía del Señor es un giro eterno	La vía del Señor es un giro eterno	 `dyc-3-via-senor-giro-eterno` 	
3	5–15	False	0.857	51	José debe arrepentirse o perderá el don de traducir	José Smith debe arrepentirse o perderá el don de traducir	 `dyc-3-jose-arrepentirse-perdera-don` 	
4	5–6	False	1	46	Atributos divinos califican para el ministerio	Los atributos divinos los califican para el ministerio	 `dyc-4-atributos-divinos-ministerio` 	
5	11–18	True	1	50	Tres testigos darán testimonio del Libro de Mormón	Tres testigos darán testimonio del Libro de Mormón	 `dyc-5-tres-testigos-testimonio` 	
5	21–28	False	0	38	Martin Harris debe humillarse para ver		 `dyc-5-martin-harris-humillarse` 	Encabezado oficial unifica 21-35; se divide en v. 29 por cambio de tema
6	1–6	False	0.8	41	Los obreros del Señor logran la salvación	Los obreros del campo del Señor logran la salvación	 `dyc-6-obreros-senor-salvacion` 	
6	14–18	False	0	51	Oliver Cowdery ha recibido instrucción del Espíritu		 `dyc-6-oliver-instruccion-espiritu` 	Encabezado oficial unifica 14-27; se divide en tres
7	1–3	False	0.714	46	Juan el Amado vivirá hasta la venida del Señor	Juan el Amado vivirá hasta que venga el Señor	 `dyc-7-juan-amado-vivira` 	Jn 21:20-24
7	4–8	False	0.714	55	Pedro, Santiago y Juan poseen las llaves del ministerio	Pedro, Santiago y Juan poseen las llaves del Evangelio	 `dyc-7-pedro-santiago-juan-llaves` 	
8	1–5	False	0.8	41	La revelación viene por el Espíritu Santo	La revelación viene por el poder del Espíritu Santo	 `dyc-8-revelacion-espiritu-santo` 	
9	7–14	False	0.091	68	Cómo recibir revelación: estudiar y sentir confirmación del Espíritu	El Libro de Mormón se traduce por el estudio y por la confirmación espiritual	 `dyc-9-estudio-confirmacion-espiritual` 	
10	1–5	False	0	32	El don de traducir es restaurado		 `dyc-10-don-traducir-restaurado` 	Encabezado oficial unifica 1-26; se divide en tres
10	34–42	False	0	41	José Smith traducirá las planchas de Nefi		 `dyc-10-traduce-planchas-nefi` 	Encabezado oficial unifica 34-52; se divide en dos
11	15–22	False	0.8	44	Guarda los mandamientos y estudia la palabra	Guarda los mandamientos y estudia la palabra del Señor	 `dyc-11-guarda-mandamientos-palabra` 	
11	23–27	False	0.667	39	No niegues la revelación ni la profecía	No niegues el espíritu de revelación y de profecía	 `dyc-11-no-niegues-revelacion-profecia` 	
11	7–14	False	0.182	58	Hyrum debe buscar sabiduría y proclamar el arrepentimiento	Busca sabiduría, proclama el arrepentimiento, confía en el Espíritu	 `dyc-11-busca-sabiduria-arrepentimiento` 	
13	1–1	False	0	58	Se restauran las llaves y el poder del Sacerdocio Aarónico		 `dyc-13-restauran-llaves-sacerdocio-aaronico` 	JS—H 1:68-72
14	7–8	False	0.8	39	La vida eterna es el mayor de los dones	La vida eterna es el mayor de los dones de Dios	 `dyc-14-vida-eterna-mayor-don` 	
14	9–11	True	1	34	Cristo creó los cielos y la tierra	Cristo creó los cielos y la tierra	 `dyc-14-cristo-creo-cielos-tierra` 	
18	37–39	False	0.714	50	Oliver Cowdery y David Whitmer buscarán a los Doce	Oliver Cowdery y David Whitmer han de buscar a los Doce	 `dyc-18-oliver-david-buscan-doce` 	
18	9–16	False	0.75	41	El valor de las almas es grande ante Dios	El valor de las almas es grande	 `dyc-18-valor-almas-grande` 	
19	4–5	False	0.8	34	Todos deben arrepentirse o padecer	Todos los hombres deben arrepentirse o padecer	 `dyc-19-arrepentirse-padecer` 	
19	6–12	False	1.333	39	El castigo eterno es el castigo de Dios	Castigo eterno es castigo de Dios	 `dyc-19-castigo-eterno-dios` 	
20	38–44	False	0	34	Deberes de los élderes y apóstoles		 `dyc-20-deberes-elderes-apostoles` 	Encabezado oficial unifica 38-67; se divide en tres
20	72–74	False	0.75	35	La forma del bautismo por inmersión	Se describe la forma del bautismo por inmersión	 `dyc-20-forma-bautismo` 	
21	1–3	True	1	75	José Smith es llamado para ser vidente, traductor, profeta, apóstol y élder	José Smith es llamado para ser vidente, traductor, profeta, apóstol y élder	 `dyc-21-jose-smith-es-llamado-ser-vidente-traductor-profeta-a` 	
21	4–8	True	1	36	Su palabra dirigirá la causa de Sion	Su palabra dirigirá la causa de Sion	 `dyc-21-palabra-dirigira-causa-sion` 	
21	9–12	True	1	81	Los santos creerán en sus palabras al hablar él por la inspiración del Consolador	Los santos creerán en sus palabras al hablar él por la inspiración del Consolador	 `dyc-21-santos-creeran-palabras-hablar-inspi` 	
22	1–1	True	1	45	El bautismo es un convenio nuevo y sempiterno	El bautismo es un convenio nuevo y sempiterno	 `dyc-22-bautismo-es-convenio-nuevo-sempiterno` 	
22	2–4	False	0.667	22	El bautismo autorizado	Se requiere el bautismo autorizado	 `dyc-22-requiere-bautismo-autorizado` 	
23	1–7	False	0.875	76	A estos primeros discípulos a predicar, a exhortar y a fortalecer la Iglesia	Se llama a estos primeros discípulos a predicar, a exhortar y a fortalecer la Iglesia	 `dyc-23-llama-estos-primeros-discipulos-predicar-exhortar` 	
24	1–9	True	1	68	José Smith es llamado a traducir, predicar y explicar las Escrituras	José Smith es llamado a traducir, predicar y explicar las Escrituras	 `dyc-24-jose-smith-es-llamado-traducir-predicar-explicar-esc` 	
24	10–12	True	1	49	Oliver Cowdery es llamado a predicar el Evangelio	Oliver Cowdery es llamado a predicar el Evangelio	 `dyc-24-oliver-cowdery-es-llamado-predicar-evangelio` 	
25	1–6	True	1	70	Emma Smith, dama elegida, es llamada a ayudar y a consolar a su esposo	Emma Smith, dama elegida, es llamada a ayudar y a consolar a su esposo	 `dyc-25-emma-smith-dama-elegida-es-llamada-ayudar-consolar-s` 	
25	12–14	True	1	48	La canción de los justos es una oración al Señor	La canción de los justos es una oración al Señor	 `dyc-25-cancion-justos-es-oracion-senor` 	
26	2–2	False	0.75	24	La ley del común acuerdo	Se confirma la ley del común acuerdo	 `dyc-26-confirma-ley-comun-acuerdo` 	
27	1–4	False	0.667	59	Los emblemas que se deben usar al participar del sacramento	Se indican los emblemas que se han de usar al participar del sacramento	 `dyc-27-indican-emblemas-han-usar-participar` 	evento: elias-promesa
27	15–18	True	1	45	Tomad sobre vosotros toda la armadura de Dios	Tomad sobre vosotros toda la armadura de Dios	 `dyc-27-tomad-vosotros-toda-armadura-dios` 	evento: elias-promesa
27	5–14	False	0.875	85	Cristo y Sus siervos de todas las dispensaciones deben participar de dicho sacramento	Cristo y Sus siervos de todas las dispensaciones han de participar de dicho sacramento	 `dyc-27-cristo-siervos-todas-dispensaciones-han-part` 	evento: elias-promesa
28	11–16	True	1	61	Satanás engañó a Hiram Page y le comunicó revelaciones falsas	Satanás engañó a Hiram Page y le comunicó revelaciones falsas	 `dyc-28-satanas-engano-hiram-page-comunico-revelaciones-falsa` 	
28	8–10	True	1	45	Oliver Cowdery ha de predicar a los lamanitas	Oliver Cowdery ha de predicar a los lamanitas	 `dyc-28-oliver-cowdery-ha-predicar-lamanitas` 	
29	1–8	True	1	29	Cristo recoge a Sus escogidos	Cristo recoge a Sus escogidos	 `dyc-29-cristo-recoge-escogidos` 	
29	12–13	True	1	31	Los Doce juzgarán a todo Israel	Los Doce juzgarán a todo Israel	 `dyc-29-doce-juzgaran-todo-israel` 	
29	14–21	True	1	61	Señales, plagas y desolaciones precederán a la Segunda Venida	Señales, plagas y desolaciones precederán a la Segunda Venida	 `dyc-29-senales-plagas-desolaciones-precederan-segunda-venida` 	
29	22–28	True	1	75	La última resurrección y el juicio final se verificarán después del Milenio	La última resurrección y el juicio final se verificarán después del Milenio	 `dyc-29-ultima-resurreccion-juicio-final-verificaran-desp` 	
29	29–35	True	1	46	Para el Señor todas las cosas son espirituales	Para el Señor todas las cosas son espirituales	 `dyc-29-senor-todas-cosas-son-espirituales` 	
29	36–39	True	1	73	El diablo y sus huestes fueron expulsados del cielo para tentar al hombre	El diablo y sus huestes fueron expulsados del cielo para tentar al hombre	 `dyc-29-diablo-huestes-fueron-expulsados-cielo-ten` 	
29	40–45	True	1	42	La Caída y la Expiación traen la salvación	La Caída y la Expiación traen la salvación	 `dyc-29-caida-expiacion-traen-salvacion` 	
29	46–50	True	1	58	Los niños pequeños son redimidos por medio de la Expiación	Los niños pequeños son redimidos por medio de la Expiación	 `dyc-29-ninos-pequenos-son-redimidos-medio-expiacion` 	
29	9–11	True	1	29	Su venida iniciará el Milenio	Su venida iniciará el Milenio	 `dyc-29-venida-iniciara-milenio` 	
30	1–4	False	0.75	63	David Whitmer es reprendido por no haber servido diligentemente	Se reprende a David Whitmer por no haber servido diligentemente	 `dyc-30-reprende-david-whitmer-no-haber-servido-diligenteme` 	
30	5–8	True	1	83	Peter Whitmer, hijo, ha de acompañar a Oliver Cowdery en una misión a los lamanitas	Peter Whitmer, hijo, ha de acompañar a Oliver Cowdery en una misión a los lamanitas	 `dyc-30-peter-whitmer-hijo-ha-acompanar-oliver-cowdery-m` 	
30	9–11	True	1	47	John Whitmer es llamado a predicar el Evangelio	John Whitmer es llamado a predicar el Evangelio	 `dyc-30-john-whitmer-es-llamado-predicar-evangelio` 	
31	7–13	False	0.667	45	Se le aconseja que sea paciente y ore siempre	Se le aconseja que sea paciente, que ore siempre y que siga lo que le indique el Consolador	 `dyc-31-aconseja-sea-paciente-ore-siempre-siga-l` 	
32	1–3	True	1	132	Parley P. Pratt y Ziba Peterson son llamados para predicar a los lamanitas y para acompañar a Oliver Cowdery y a Peter Whitmer, hijo	Parley P. Pratt y Ziba Peterson son llamados para predicar a los lamanitas y para acompañar a Oliver Cowdery y a Peter Whitmer, hijo	 `dyc-32-parley-p-pratt-ziba-peterson-son-llamados-predicar` 	
32	4–5	True	1	39	Deben orar para entender las Escrituras	Deben orar para entender las Escrituras	 `dyc-32-deben-orar-entender-escrituras` 	
33	1–4	False	0.857	54	Obreros para declarar el Evangelio en la hora undécima	Se llaman obreros para declarar el Evangelio en la hora undécima	 `dyc-33-llaman-obreros-declarar-evangelio-hora-unde` 	
33	11–15	True	1	53	La Iglesia está edificada sobre la roca del Evangelio	La Iglesia está edificada sobre la roca del Evangelio	 `dyc-33-iglesia-esta-edificada-roca-evangelio` 	
